"","year","total"
"1",2004,"640 (555-726)"
"2",2005,"688 (615-762)"
"3",2006,"677 (612-737)"
"4",2007,"708 (626-783)"
"5",2008,"706 (642-767)"
"6",2009,"709 (636-777)"
"7",2010,"726 (645-805)"
"8",2011,"749 (657-845)"
"9",2012,"734 (627-849)"
"10",2013,"741 (620-874)"
"11",2014,"704 (568-861)"
"12",2015,"696 (547-867)"
