"","year","total"
"1",2004,"640 (555-724)"
"2",2005,"688 (615-761)"
"3",2006,"678 (612-738)"
"4",2007,"710 (628-785)"
"5",2008,"707 (644-768)"
"6",2009,"709 (638-777)"
"7",2010,"725 (646-805)"
"8",2011,"748 (656-843)"
"9",2012,"732 (628-848)"
"10",2013,"738 (619-868)"
"11",2014,"700 (566-855)"
"12",2015,"691 (543-861)"
