"","year","total"
"1",2004,"638 (554-723)"
"2",2005,"689 (616-762)"
"3",2006,"678 (612-736)"
"4",2007,"711 (627-787)"
"5",2008,"707 (645-766)"
"6",2009,"710 (637-777)"
"7",2010,"727 (645-806)"
"8",2011,"750 (656-845)"
"9",2012,"732 (626-846)"
"10",2013,"738 (620-868)"
"11",2014,"697 (562-851)"
"12",2015,"686 (538-852)"
