"","year","total"
"1",2004,"636 (537-735)"
"2",2005,"673 (592-752)"
"3",2006,"673 (602-740)"
"4",2007,"699 (621-772)"
"5",2008,"696 (629-762)"
"6",2009,"712 (636-786)"
"7",2010,"735 (645-825)"
"8",2011,"758 (651-868)"
"9",2012,"753 (628-885)"
"10",2013,"766 (619-924)"
"11",2014,"757 (577-954)"
