year,value,lower,upper
2004,11476.93757,11011.96727,11952.18923
2005,12080.16723,11569.52733,12595.23599
2006,12658.01591,12096.56827,13218.48386
2007,13229.87855,12613.58394,13840.18778
2008,13677.28924,13005.74074,14338.10818
2009,14279.61519,13552.31671,14991.427
2010,14942.19457,14159.72572,15703.6357
2011,15612.01632,14767.20646,16432.03996
2012,16367.43965,15461.24214,17244.50365
2013,17038.72543,16071.19244,17972.21565
2014,17811.07799,16780.87307,18801.58275
