"year","stage","value","lower","upper"
2004,"plhiv",12981.5853284121,11755.0490683163,14155.6481413904
2005,"plhiv",13532.0851514257,12233.143365674,14762.5864924183
2006,"plhiv",14034.6229134239,12651.3640172782,15332.9580013383
2007,"plhiv",14584.1027859739,13120.4716120488,15962.7553425303
2008,"plhiv",14936.1534209085,13416.8379573871,16405.1798886018
2009,"plhiv",15442.1271636011,13866.5097724468,17012.0018588382
2010,"plhiv",16014.5241810808,14378.1716131149,17679.8211238051
2011,"plhiv",16601.2104936617,14884.6602682826,18371.6577969215
2012,"plhiv",17262.7841784853,15444.5366755022,19163.099849514
2013,"plhiv",17818.4899257503,15903.8912792091,19824.5319183815
2014,"plhiv",18492.8918284674,16464.9378594822,20616.208745903
2015,"plhiv",19066.0911398074,16889.9138979637,21340.8764941863
2004,"undiagnosed",1881.39876841207,1590.00850831634,2194.35096139041
2005,"undiagnosed",1863.20831142568,1563.897525674,2162.1691624183
2006,"undiagnosed",1825.69462342389,1508.81166727817,2118.24324133833
2007,"undiagnosed",1835.25029597394,1509.57376204882,2128.07728253028
2008,"undiagnosed",1782.89891090855,1472.75100738711,2085.51882860184
2009,"undiagnosed",1730.9387636011,1441.6946424468,2047.45838883816
2010,"undiagnosed",1690.48052108078,1421.34078311487,2012.16961380511
2011,"undiagnosed",1649.68843366169,1385.8886882826,1978.84910692147
2012,"undiagnosed",1613.80740848534,1336.46672550224,1972.76945951403
2013,"undiagnosed",1561.27194575027,1275.34337920911,1926.27046838145
2014,"undiagnosed",1513.31198846741,1205.91756948216,1891.81629590302
2015,"undiagnosed",1435.06997980743,1069.02902796374,1863.43454418629
2004,"pldhiv",11100.18656,10165.04056,11961.29718
2005,"pldhiv",11668.87684,10669.24584,12600.41733
2006,"pldhiv",12208.92829,11142.55235,13214.71476
2007,"pldhiv",12748.85249,11610.89785,13834.67806
2008,"pldhiv",13153.25451,11944.08695,14319.66106
2009,"pldhiv",13711.1884,12424.81513,14964.54347
2010,"pldhiv",14324.04366,12956.83083,15667.65151
2011,"pldhiv",14951.52206,13498.77158,16392.80869
2012,"pldhiv",15648.97677,14108.06995,17190.33039
2013,"pldhiv",16257.21798,14628.5479,17898.26145
2014,"pldhiv",16979.57984,15259.02029,18724.39245
2015,"pldhiv",17631.02116,15820.88487,19477.44195
2004,"diagnosed",4428.97443744,2976.30095482,5852.10780344
2005,"diagnosed",4655.88185916,3096.39502467,6188.20058016
2006,"diagnosed",4871.36238771,3200.50877924,6518.04079765
2007,"diagnosed",5456.50886572,3697.46199968,7193.2444898
2008,"diagnosed",4209.0414432,2206.7174292,6197.681934
2009,"diagnosed",4469.8474184,2338.71283122,6590.21807238
2010,"diagnosed",4368.8333163,2067.81303055,6662.65408315
2011,"diagnosed",4216.32922092,1728.73494058,6700.69069556
2012,"diagnosed",3458.42386617,716.802576189999,6200.14389895
2013,"diagnosed",3836.70344328,954.276152199998,6722.0508544
2014,"diagnosed",2801.6306736,0,5983.11050785
2015,"diagnosed",2380.1878566,0,5792.37653745
2004,"treated",6671.21212256,6109.18937656,7188.73960518
2005,"treated",7012.99498084,6412.21674984,7572.85081533
2006,"treated",7337.56590229,6696.67396235,7942.04357076
2007,"treated",7292.34362428,6641.4335702,7913.43585032
2008,"treated",8944.2130668,8121.979126,9737.3695208
2009,"treated",9241.3409816,8374.32539762,10086.10229878
2010,"treated",9955.2103437,9004.99742685,10889.01779945
2011,"treated",10735.19283908,9692.11799444,11770.03663942
2012,"treated",12190.55290383,10990.18649105,13391.26737381
2013,"treated",12420.51453672,11176.2105956,13674.2717478
2014,"treated",14177.9491664,12741.28194215,15634.86769575
2015,"treated",15250.8333034,13685.06541255,16847.98728675
2004,"unsuppressed",2749.79602070179,1720.32361685413,3736.41370571551
2005,"unsuppressed",2766.23690599222,1655.45649970947,3834.67112840818
2006,"unsuppressed",2186.61092460994,953.658654309352,3382.41221666848
2007,"unsuppressed",1870.33651532134,600.245872208902,3107.48137539571
2008,"unsuppressed",2024.29220238105,403.685444980472,3607.67257215081
2009,"unsuppressed",1682.94372511176,0,3383.43030127913
2010,"unsuppressed",1618.43722652752,0,3496.87146785782
2011,"unsuppressed",1642.17937262558,0,3715.9836138336
2012,"unsuppressed",1549.00620328692,0,3960.60564439353
2013,"unsuppressed",1290.10113948563,0,3812.76366586976
2014,"unsuppressed",1190.03353581535,0,4126.29253713107
2015,"unsuppressed",1197.37947889736,0,4412.65714230122
2004,"suppressed",3921.41610185821,3452.32589946449,4388.86575970587
2005,"suppressed",4246.75807484778,3738.17968692182,4756.76025013052
2006,"suppressed",5150.95497768006,4559.63135409152,5743.01530804065
2007,"suppressed",5422.00710895866,4805.95447492429,6041.1876979911
2008,"suppressed",6919.92086441895,6129.69694864919,7718.29368101953
2009,"suppressed",7558.39725648824,6702.67199750087,8425.88759963218
2010,"suppressed",8336.77311717248,7392.14633159218,9298.81255767032
2011,"suppressed",9093.01346645442,8054.0530255864,10158.3285409291
2012,"suppressed",10641.5467005431,9430.66172941647,11888.3566383846
2013,"suppressed",11130.4133972344,9861.50808193024,12442.1769944813
2014,"suppressed",12987.9156305846,11508.5751586189,14522.884619858
2015,"suppressed",14053.4538245026,12435.3301444488,15741.0123360895
